
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B4:75:0E:53:49:DD, 2014-06-13 15:14:42, 2014-06-13 15:14:56,  2,  54, WPA2WPA , CCMP TKIP,PSK, -96,      148,     3456,   0.  0.  0.  0,  10, 5chadwicks, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
58:A2:B5:F3:AC:F3, 2014-06-13 15:14:42, 2014-06-13 15:14:55, -127,       29, B4:75:0E:53:49:DD,
00:26:AB:BA:73:2C, 2014-06-13 15:14:42, 2014-06-13 15:14:56, -127,       26, B4:75:0E:53:49:DD,
34:23:BA:49:82:8B, 2014-06-13 15:14:44, 2014-06-13 15:14:55, -127,       70, B4:75:0E:53:49:DD,
34:31:11:8C:4B:EB, 2014-06-13 15:14:45, 2014-06-13 15:14:55, -127,       10, B4:75:0E:53:49:DD,
34:31:11:8C:43:4D, 2014-06-13 15:14:44, 2014-06-13 15:14:55, -77,       68, B4:75:0E:53:49:DD,
00:2D:00:00:E5:EA, 2014-06-13 15:14:42, 2014-06-13 15:14:55, -65,        9, B4:75:0E:53:49:DD,
A0:88:B4:0B:84:AC, 2014-06-13 15:14:43, 2014-06-13 15:14:53, -65,       22, B4:75:0E:53:49:DD,
00:23:54:04:FE:FF, 2014-06-13 15:14:43, 2014-06-13 15:14:56, -58,      179, B4:75:0E:53:49:DD,
60:45:BD:A7:93:44, 2014-06-13 15:14:43, 2014-06-13 15:14:43, -59,        1, B4:75:0E:53:49:DD,
00:23:08:6E:A5:83, 2014-06-13 15:14:43, 2014-06-13 15:14:53, -20,        7, B4:75:0E:53:49:DD,
A0:88:B4:0C:7D:E4, 2014-06-13 15:14:42, 2014-06-13 15:14:56,   0,     1648, B4:75:0E:53:49:DD,

